Title,ISBN,Release Date,Publisher,Format,Condition,Price
The Hunger Games,0439023521,2010-07-03T00:00:00,Scholastic Press,Paperback,Good,4.59
The Alchemist,0062390627,2014-09-09T00:00:00,HarperOne,Hardcover,Good,15.89
Animal Farm: A Fairy Story,8187057319,2020-01-01T00:00:00,LDS Marketing,Paperback,Good,7.99
Harry Potter and the Chamber of Secrets,0439064864,1999-07-01T00:00:00,Scholastic,Hardcover,Good,5.39
Where the Crawdads Sing,0735219109,2021-03-30T00:00:00,G.P. Putnam's Sons,Paperback,Good,4.89
It Ends with Us,1501110365,2016-08-02T00:00:00,Atria Books,Paperback,Good,4.69
Harry Potter and the Prisoner of Azkaban,0439136350,1999-10-01T00:00:00,Scholastic,Hardcover,Good,5.39
Catching Fire,0545586178,2013-06-04T00:00:00,Scholastic Press,Paperback,Good,6.39
"The Four Agreements: A Practical Guide to Personal Freedom, A Toltec Wisdom Book",1878424319,1997-11-07T00:00:00,Amber-Allen Publishing,Paperback,Good,6.19
The Hobbit,0547953836,2012-09-18T00:00:00,Clarion Books,Hardcover,Good,7.39
The Handmaid's Tale,038549081X,1998-03-16T00:00:00,Vintage,Paperback,Good,7.69
The Great Gatsby,1982146702,2020-11-17T00:00:00,Pocket Books,Mass Market Paperback,Good,6.69
How to Win Friends and Influence People,0671027034,1998-10-01T00:00:00,Pocket Books,Paperback,Good,6.49
Verity,1538724731,2021-10-26T00:00:00,Grand Central Publishing,Paperback,Good,5.89
Mockingjay,0545663261,2014-02-25T00:00:00,Scholastic Press,Paperback,Good,8.09
Harry Potter and the Goblet of Fire,1338878956,2023-05-02T00:00:00,Scholastic Inc.,Paperback,Good,10.69
The Giver,0544336267,1993-07-01T00:00:00,Clarion Books,Paperback,Good,4.99
Charlotte's Web,0064400557,2012-04-10T00:00:00,HarperCollins,Paperback,Good,4.49
Harry Potter and the Deathly Hallows,1338878980,2023-05-02T00:00:00,Scholastic Inc.,Paperback,Good,11.19
Pride and Prejudice,1452184577,2020-09-15T00:00:00,Chronicle Books,Hardcover,Good,29.09
The Seven Husbands of Evelyn Hugo,1501161938,2018-05-29T00:00:00,Atria Books,Paperback,Good,5.39
Harry Potter and the Half-Blood Prince,1338878972,2023-05-02T00:00:00,Scholastic Inc.,Paperback,Good,7.09
All the Light We Cannot See,1501173219,2017-04-04T00:00:00,Scribner Book Company,Paperback,Good,4.89
Green Eggs and Ham,0375810889,2001-01-01T00:00:00,Random House Books for Young Readers,Board book,Good,6.39
"The Lion, the Witch and the Wardrobe",0064404994,1994-07-01T00:00:00,HarperCollins,Paperback,Good,4.19
Man's Search for Meaning,0807014273,2006-06-01T00:00:00,Beacon Press,Paperback,Good,8.89
Twilight,0316327336,2022-02-01T00:00:00,"Little, Brown Books for Young Readers",Paperback,Good,10.09
The Book Thief,0375842209,2007-09-11T00:00:00,Alfred A. Knopf Books for Young Readers,Paperback,Good,4.69
Educated,0399590501,2018-02-20T00:00:00,Random House,Hardcover,Good,4.39
"Oh, the Thinks You Can Think!",037585794X,2009-08-11T00:00:00,Random House Books for Young Readers,Board book,Good,4.19
Lord of the Flies,0140283331,1999-10-01T00:00:00,Penguin Books,Paperback,Good,6.09
Anne Frank: The Diary of a Young Girl,9350332108,1912-01-08T00:00:00,Maple Press Pvt Ltd,Paperback,Good,18.99
The Silent Patient,125030170X,2021-05-04T00:00:00,Celadon Books,Paperback,Good,6.69
The Nightingale,1250080401,2017-04-25T00:00:00,St. Martin's Griffin,Paperback,Good,8.59
The Power of Now: A Guide to Spiritual Enlightenment,1577311523,1999-09-27T00:00:00,New World Library,Hardcover,Good,6.09
Before We Were Yours,0425284700,2019-05-21T00:00:00,Ballantine Books,Paperback,Good,4.39
Brave New World,0060850523,2006-10-17T00:00:00,Harper Perennial,Paperback,Good,7.09
It Starts with Us,1668001225,2022-10-18T00:00:00,Atria Books,Paperback,Good,4.89
Mere Christianity,0060652926,2001-02-06T00:00:00,Harper San Francisco,Paperback,Good,6.09
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,0062300547,2016-06-28T00:00:00,Harper,Hardcover,Good,4.79
Wuthering Heights,0141439556,2002-12-31T00:00:00,Penguin Classics,Paperback,Good,4.99
"One Fish, Two Fish, Red Fish, Blue Fish",0394800133,1960-03-12T00:00:00,Random House Books for Young Readers,Hardcover,Good,4.19
"Rich Dad, Poor Dad",1612681131,2022-04-05T00:00:00,Plata Publishing,Mass Market Paperback,Good,6.89
How the Grinch Stole Christmas!,0593434382,2021-09-21T00:00:00,Random House Books for Young Readers,Hardcover,Good,7.59
The Lightning Thief,0786838655,2006-04-01T00:00:00,Disney-Hyperion,Paperback,Good,4.39
Harry Potter and the Order of the Phoenix,043935806X,2003-07-01T00:00:00,Arthur A. Levine Books,Hardcover,Good,5.29
Nineteen Eighty-Four,0679417397,1992-11-03T00:00:00,Everyman's Library,Hardcover,Good,14.99
Harry Potter and the Sorcerer's Stone,1338878921,2023-05-02T00:00:00,Scholastic Inc.,Paperback,Good,7.49
To Kill a Mockingbird,0062420704,2015-03-03T00:00:00,Harper,Hardcover,Good,16.19
Fahrenheit 451,1451673310,2012-01-10T00:00:00,Simon & Schuster,Paperback,Good,8.09
The Hunger Games,0439023521,2010-07-03T00:00:00,Scholastic Press,Paperback,Good,4.59
The Alchemist,0062390627,2014-09-09T00:00:00,HarperOne,Hardcover,Good,15.89
Animal Farm: A Fairy Story,8187057319,2020-01-01T00:00:00,LDS Marketing,Paperback,Good,7.99
Where the Crawdads Sing,0735219109,2021-03-30T00:00:00,G.P. Putnam's Sons,Paperback,Good,4.89
Harry Potter and the Chamber of Secrets,0439064864,1999-07-01T00:00:00,Scholastic,Hardcover,Good,5.39
It Ends with Us,1501110365,2016-08-02T00:00:00,Atria Books,Paperback,Good,4.69
Catching Fire,0545586178,2013-06-04T00:00:00,Scholastic Press,Paperback,Good,6.39
Harry Potter and the Prisoner of Azkaban,0439136350,1999-10-01T00:00:00,Scholastic,Hardcover,Good,5.39
"The Four Agreements: A Practical Guide to Personal Freedom, A Toltec Wisdom Book",1878424319,1997-11-07T00:00:00,Amber-Allen Publishing,Paperback,Good,6.19
The Hobbit,0547953836,2012-09-18T00:00:00,Clarion Books,Hardcover,Good,7.39
The Handmaid's Tale,038549081X,1998-03-16T00:00:00,Vintage,Paperback,Good,7.69
The Great Gatsby,1982146702,2020-11-17T00:00:00,Pocket Books,Mass Market Paperback,Good,6.69
How to Win Friends and Influence People,0671027034,1998-10-01T00:00:00,Pocket Books,Paperback,Good,6.49
Verity,1538724731,2021-10-26T00:00:00,Grand Central Publishing,Paperback,Good,5.89
Mockingjay,0545663261,2014-02-25T00:00:00,Scholastic Press,Paperback,Good,8.09
Harry Potter and the Goblet of Fire,1338878956,2023-05-02T00:00:00,Scholastic Inc.,Paperback,Good,10.69
The Giver,0544336267,1993-07-01T00:00:00,Clarion Books,Paperback,Good,4.99
Harry Potter and the Deathly Hallows,1338878980,2023-05-02T00:00:00,Scholastic Inc.,Paperback,Good,11.19
Charlotte's Web,0064400557,2012-04-10T00:00:00,HarperCollins,Paperback,Good,4.49
Pride and Prejudice,1452184577,2020-09-15T00:00:00,Chronicle Books,Hardcover,Good,29.09
The Seven Husbands of Evelyn Hugo,1501161938,2018-05-29T00:00:00,Atria Books,Paperback,Good,5.39
Harry Potter and the Half-Blood Prince,1338878972,2023-05-02T00:00:00,Scholastic Inc.,Paperback,Good,7.09
All the Light We Cannot See,1501173219,2017-04-04T00:00:00,Scribner Book Company,Paperback,Good,4.89
"The Lion, the Witch and the Wardrobe",0064404994,1994-07-01T00:00:00,HarperCollins,Paperback,Good,4.19
Green Eggs and Ham,0375810889,2001-01-01T00:00:00,Random House Books for Young Readers,Board book,Good,6.39
Man's Search for Meaning,0807014273,2006-06-01T00:00:00,Beacon Press,Paperback,Good,8.89
Twilight,0316327336,2022-02-01T00:00:00,"Little, Brown Books for Young Readers",Paperback,Good,10.09
The Book Thief,0375842209,2007-09-11T00:00:00,Alfred A. Knopf Books for Young Readers,Paperback,Good,4.69
Lord of the Flies,0140283331,1999-10-01T00:00:00,Penguin Books,Paperback,Good,6.09
"Oh, the Thinks You Can Think!",037585794X,2009-08-11T00:00:00,Random House Books for Young Readers,Board book,Good,4.19
Educated,0399590501,2018-02-20T00:00:00,Random House,Hardcover,Good,4.39
Anne Frank: The Diary of a Young Girl,9350332108,1912-01-08T00:00:00,Maple Press Pvt Ltd,Paperback,Good,18.99
The Silent Patient,125030170X,2021-05-04T00:00:00,Celadon Books,Paperback,Good,6.69
The Nightingale,1250080401,2017-04-25T00:00:00,St. Martin's Griffin,Paperback,Good,8.59
The Power of Now: A Guide to Spiritual Enlightenment,1577311523,1999-09-27T00:00:00,New World Library,Hardcover,Good,6.09
Before We Were Yours,0425284700,2019-05-21T00:00:00,Ballantine Books,Paperback,Good,4.39
Brave New World,0060850523,2006-10-17T00:00:00,Harper Perennial,Paperback,Good,7.09
It Starts with Us,1668001225,2022-10-18T00:00:00,Atria Books,Paperback,Good,4.89
Mere Christianity,0060652926,2001-02-06T00:00:00,Harper San Francisco,Paperback,Good,6.09
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,0062300547,2016-06-28T00:00:00,Harper,Hardcover,Good,4.79
Wuthering Heights,0141439556,2002-12-31T00:00:00,Penguin Classics,Paperback,Good,4.99
"One Fish, Two Fish, Red Fish, Blue Fish",0394800133,1960-03-12T00:00:00,Random House Books for Young Readers,Hardcover,Good,4.19
"Rich Dad, Poor Dad",1612681131,2022-04-05T00:00:00,Plata Publishing,Mass Market Paperback,Good,6.89
How the Grinch Stole Christmas!,0593434382,2021-09-21T00:00:00,Random House Books for Young Readers,Hardcover,Good,7.59
The Lightning Thief,0786838655,2006-04-01T00:00:00,Disney-Hyperion,Paperback,Good,4.39
Harry Potter and the Order of the Phoenix,043935806X,2003-07-01T00:00:00,Arthur A. Levine Books,Hardcover,Good,5.29
Nineteen Eighty-Four,0679417397,1992-11-03T00:00:00,Everyman's Library,Hardcover,Good,14.99
Harry Potter and the Sorcerer's Stone,1338878921,2023-05-02T00:00:00,Scholastic Inc.,Paperback,Good,7.49
To Kill a Mockingbird,0062420704,2015-03-03T00:00:00,Harper,Hardcover,Good,16.19
Fahrenheit 451,1451673310,2012-01-10T00:00:00,Simon & Schuster,Paperback,Good,8.09
The Hunger Games,0439023521,2010-07-03T00:00:00,Scholastic Press,Paperback,Good,4.59
The Alchemist,0062390627,2014-09-09T00:00:00,HarperOne,Hardcover,Good,15.89
Animal Farm: A Fairy Story,8187057319,2020-01-01T00:00:00,LDS Marketing,Paperback,Good,7.99
Harry Potter and the Chamber of Secrets,0439064864,1999-07-01T00:00:00,Scholastic,Hardcover,Good,5.39
Where the Crawdads Sing,0735219109,2021-03-30T00:00:00,G.P. Putnam's Sons,Paperback,Good,4.89
It Ends with Us,1501110365,2016-08-02T00:00:00,Atria Books,Paperback,Good,4.69
Harry Potter and the Prisoner of Azkaban,0439136350,1999-10-01T00:00:00,Scholastic,Hardcover,Good,5.39
Catching Fire,0545586178,2013-06-04T00:00:00,Scholastic Press,Paperback,Good,6.39
"The Four Agreements: A Practical Guide to Personal Freedom, A Toltec Wisdom Book",1878424319,1997-11-07T00:00:00,Amber-Allen Publishing,Paperback,Good,6.19
The Hobbit,0547953836,2012-09-18T00:00:00,Clarion Books,Hardcover,Good,7.39
The Handmaid's Tale,038549081X,1998-03-16T00:00:00,Vintage,Paperback,Good,7.69
The Great Gatsby,1982146702,2020-11-17T00:00:00,Pocket Books,Mass Market Paperback,Good,6.69
How to Win Friends and Influence People,0671027034,1998-10-01T00:00:00,Pocket Books,Paperback,Good,6.49
Verity,1538724731,2021-10-26T00:00:00,Grand Central Publishing,Paperback,Good,5.89
Mockingjay,0545663261,2014-02-25T00:00:00,Scholastic Press,Paperback,Good,8.09
Harry Potter and the Goblet of Fire,1338878956,2023-05-02T00:00:00,Scholastic Inc.,Paperback,Good,10.69
The Giver,0544336267,1993-07-01T00:00:00,Clarion Books,Paperback,Good,4.99
Charlotte's Web,0064400557,2012-04-10T00:00:00,HarperCollins,Paperback,Good,4.49
Harry Potter and the Deathly Hallows,1338878980,2023-05-02T00:00:00,Scholastic Inc.,Paperback,Good,11.19
Pride and Prejudice,1452184577,2020-09-15T00:00:00,Chronicle Books,Hardcover,Good,29.09
The Seven Husbands of Evelyn Hugo,1501161938,2018-05-29T00:00:00,Atria Books,Paperback,Good,5.39
Harry Potter and the Half-Blood Prince,1338878972,2023-05-02T00:00:00,Scholastic Inc.,Paperback,Good,7.09
All the Light We Cannot See,1501173219,2017-04-04T00:00:00,Scribner Book Company,Paperback,Good,4.89
Green Eggs and Ham,0375810889,2001-01-01T00:00:00,Random House Books for Young Readers,Board book,Good,6.39
"The Lion, the Witch and the Wardrobe",0064404994,1994-07-01T00:00:00,HarperCollins,Paperback,Good,4.19
Man's Search for Meaning,0807014273,2006-06-01T00:00:00,Beacon Press,Paperback,Good,8.89
Twilight,0316327336,2022-02-01T00:00:00,"Little, Brown Books for Young Readers",Paperback,Good,10.09
The Book Thief,0375842209,2007-09-11T00:00:00,Alfred A. Knopf Books for Young Readers,Paperback,Good,4.69
Educated,0399590501,2018-02-20T00:00:00,Random House,Hardcover,Good,4.39
"Oh, the Thinks You Can Think!",037585794X,2009-08-11T00:00:00,Random House Books for Young Readers,Board book,Good,4.19
Lord of the Flies,0140283331,1999-10-01T00:00:00,Penguin Books,Paperback,Good,6.09
Anne Frank: The Diary of a Young Girl,9350332108,1912-01-08T00:00:00,Maple Press Pvt Ltd,Paperback,Good,18.99
The Silent Patient,125030170X,2021-05-04T00:00:00,Celadon Books,Paperback,Good,6.69
The Nightingale,1250080401,2017-04-25T00:00:00,St. Martin's Griffin,Paperback,Good,8.59
The Power of Now: A Guide to Spiritual Enlightenment,1577311523,1999-09-27T00:00:00,New World Library,Hardcover,Good,6.09
Before We Were Yours,0425284700,2019-05-21T00:00:00,Ballantine Books,Paperback,Good,4.39
Brave New World,0060850523,2006-10-17T00:00:00,Harper Perennial,Paperback,Good,7.09
It Starts with Us,1668001225,2022-10-18T00:00:00,Atria Books,Paperback,Good,4.89
Mere Christianity,0060652926,2001-02-06T00:00:00,Harper San Francisco,Paperback,Good,6.09
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,0062300547,2016-06-28T00:00:00,Harper,Hardcover,Good,4.79
Wuthering Heights,0141439556,2002-12-31T00:00:00,Penguin Classics,Paperback,Good,4.99
"One Fish, Two Fish, Red Fish, Blue Fish",0394800133,1960-03-12T00:00:00,Random House Books for Young Readers,Hardcover,Good,4.19
"Rich Dad, Poor Dad",1612681131,2022-04-05T00:00:00,Plata Publishing,Mass Market Paperback,Good,6.89
How the Grinch Stole Christmas!,0593434382,2021-09-21T00:00:00,Random House Books for Young Readers,Hardcover,Good,7.59
The Lightning Thief,0786838655,2006-04-01T00:00:00,Disney-Hyperion,Paperback,Good,4.39
Harry Potter and the Order of the Phoenix,043935806X,2003-07-01T00:00:00,Arthur A. Levine Books,Hardcover,Good,5.29
Nineteen Eighty-Four,0679417397,1992-11-03T00:00:00,Everyman's Library,Hardcover,Good,14.99
Harry Potter and the Sorcerer's Stone,1338878921,2023-05-02T00:00:00,Scholastic Inc.,Paperback,Good,7.49
To Kill a Mockingbird,0062420704,2015-03-03T00:00:00,Harper,Hardcover,Good,16.19
Fahrenheit 451,1451673310,2012-01-10T00:00:00,Simon & Schuster,Paperback,Good,8.09
The Hunger Games,0439023521,2010-07-03T00:00:00,Scholastic Press,Paperback,Good,4.59
The Alchemist,0062390627,2014-09-09T00:00:00,HarperOne,Hardcover,Good,15.89
Animal Farm: A Fairy Story,8187057319,2020-01-01T00:00:00,LDS Marketing,Paperback,Good,7.99
Where the Crawdads Sing,0735219109,2021-03-30T00:00:00,G.P. Putnam's Sons,Paperback,Good,4.89
Harry Potter and the Chamber of Secrets,0439064864,1999-07-01T00:00:00,Scholastic,Hardcover,Good,5.39
It Ends with Us,1501110365,2016-08-02T00:00:00,Atria Books,Paperback,Good,4.69
Catching Fire,0545586178,2013-06-04T00:00:00,Scholastic Press,Paperback,Good,6.39
Harry Potter and the Prisoner of Azkaban,0439136350,1999-10-01T00:00:00,Scholastic,Hardcover,Good,5.39
"The Four Agreements: A Practical Guide to Personal Freedom, A Toltec Wisdom Book",1878424319,1997-11-07T00:00:00,Amber-Allen Publishing,Paperback,Good,6.19
The Hobbit,0547953836,2012-09-18T00:00:00,Clarion Books,Hardcover,Good,7.39
The Handmaid's Tale,038549081X,1998-03-16T00:00:00,Vintage,Paperback,Good,7.69
The Great Gatsby,1982146702,2020-11-17T00:00:00,Pocket Books,Mass Market Paperback,Good,6.69
How to Win Friends and Influence People,0671027034,1998-10-01T00:00:00,Pocket Books,Paperback,Good,6.49
Verity,1538724731,2021-10-26T00:00:00,Grand Central Publishing,Paperback,Good,5.89
Mockingjay,0545663261,2014-02-25T00:00:00,Scholastic Press,Paperback,Good,8.09
Harry Potter and the Goblet of Fire,1338878956,2023-05-02T00:00:00,Scholastic Inc.,Paperback,Good,10.69
Harry Potter and the Deathly Hallows,1338878980,2023-05-02T00:00:00,Scholastic Inc.,Paperback,Good,11.19
The Giver,0544336267,1993-07-01T00:00:00,Clarion Books,Paperback,Good,4.99
Charlotte's Web,0064400557,2012-04-10T00:00:00,HarperCollins,Paperback,Good,4.49
Pride and Prejudice,1452184577,2020-09-15T00:00:00,Chronicle Books,Hardcover,Good,29.09
The Seven Husbands of Evelyn Hugo,1501161938,2018-05-29T00:00:00,Atria Books,Paperback,Good,5.39
Harry Potter and the Half-Blood Prince,1338878972,2023-05-02T00:00:00,Scholastic Inc.,Paperback,Good,7.09
All the Light We Cannot See,1501173219,2017-04-04T00:00:00,Scribner Book Company,Paperback,Good,4.89
Green Eggs and Ham,0375810889,2001-01-01T00:00:00,Random House Books for Young Readers,Board book,Good,6.39
"The Lion, the Witch and the Wardrobe",0064404994,1994-07-01T00:00:00,HarperCollins,Paperback,Good,4.19
Man's Search for Meaning,0807014273,2006-06-01T00:00:00,Beacon Press,Paperback,Good,8.89
Twilight,0316327336,2022-02-01T00:00:00,"Little, Brown Books for Young Readers",Paperback,Good,10.09
The Book Thief,0375842209,2007-09-11T00:00:00,Alfred A. Knopf Books for Young Readers,Paperback,Good,4.69
Lord of the Flies,0140283331,1999-10-01T00:00:00,Penguin Books,Paperback,Good,6.09
"Oh, the Thinks You Can Think!",037585794X,2009-08-11T00:00:00,Random House Books for Young Readers,Board book,Good,4.19
Educated,0399590501,2018-02-20T00:00:00,Random House,Hardcover,Good,4.39
Anne Frank: The Diary of a Young Girl,9350332108,1912-01-08T00:00:00,Maple Press Pvt Ltd,Paperback,Good,18.99
The Silent Patient,125030170X,2021-05-04T00:00:00,Celadon Books,Paperback,Good,6.69
The Nightingale,1250080401,2017-04-25T00:00:00,St. Martin's Griffin,Paperback,Good,8.59
The Power of Now: A Guide to Spiritual Enlightenment,1577311523,1999-09-27T00:00:00,New World Library,Hardcover,Good,6.09
Before We Were Yours,0425284700,2019-05-21T00:00:00,Ballantine Books,Paperback,Good,4.39
Brave New World,0060850523,2006-10-17T00:00:00,Harper Perennial,Paperback,Good,7.09
It Starts with Us,1668001225,2022-10-18T00:00:00,Atria Books,Paperback,Good,4.89
Mere Christianity,0060652926,2001-02-06T00:00:00,Harper San Francisco,Paperback,Good,6.09
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,0062300547,2016-06-28T00:00:00,Harper,Hardcover,Good,4.79
Wuthering Heights,0141439556,2002-12-31T00:00:00,Penguin Classics,Paperback,Good,4.99
"One Fish, Two Fish, Red Fish, Blue Fish",0394800133,1960-03-12T00:00:00,Random House Books for Young Readers,Hardcover,Good,4.19
"Rich Dad, Poor Dad",1612681131,2022-04-05T00:00:00,Plata Publishing,Mass Market Paperback,Good,6.89
How the Grinch Stole Christmas!,0593434382,2021-09-21T00:00:00,Random House Books for Young Readers,Hardcover,Good,7.59
The Lightning Thief,0786838655,2006-04-01T00:00:00,Disney-Hyperion,Paperback,Good,4.39
Harry Potter and the Order of the Phoenix,043935806X,2003-07-01T00:00:00,Arthur A. Levine Books,Hardcover,Good,5.29
Nineteen Eighty-Four,0679417397,1992-11-03T00:00:00,Everyman's Library,Hardcover,Good,14.99
Harry Potter and the Sorcerer's Stone,1338878921,2023-05-02T00:00:00,Scholastic Inc.,Paperback,Good,7.49
To Kill a Mockingbird,0062420704,2015-03-03T00:00:00,Harper,Hardcover,Good,16.19
Fahrenheit 451,1451673310,2012-01-10T00:00:00,Simon & Schuster,Paperback,Good,8.09
The Hunger Games,0439023521,2010-07-03T00:00:00,Scholastic Press,Paperback,Good,4.59
The Alchemist,0062390627,2014-09-09T00:00:00,HarperOne,Hardcover,Good,15.89
Animal Farm: A Fairy Story,8187057319,2020-01-01T00:00:00,LDS Marketing,Paperback,Good,7.99
Harry Potter and the Chamber of Secrets,0439064864,1999-07-01T00:00:00,Scholastic,Hardcover,Good,5.39
Where the Crawdads Sing,0735219109,2021-03-30T00:00:00,G.P. Putnam's Sons,Paperback,Good,4.89
It Ends with Us,1501110365,2016-08-02T00:00:00,Atria Books,Paperback,Good,4.69
Harry Potter and the Prisoner of Azkaban,0439136350,1999-10-01T00:00:00,Scholastic,Hardcover,Good,5.39
Catching Fire,0545586178,2013-06-04T00:00:00,Scholastic Press,Paperback,Good,6.39
"The Four Agreements: A Practical Guide to Personal Freedom, A Toltec Wisdom Book",1878424319,1997-11-07T00:00:00,Amber-Allen Publishing,Paperback,Good,6.19
The Hobbit,0547953836,2012-09-18T00:00:00,Clarion Books,Hardcover,Good,7.39
The Handmaid's Tale,038549081X,1998-03-16T00:00:00,Vintage,Paperback,Good,7.69
The Great Gatsby,1982146702,2020-11-17T00:00:00,Pocket Books,Mass Market Paperback,Good,6.69
How to Win Friends and Influence People,0671027034,1998-10-01T00:00:00,Pocket Books,Paperback,Good,6.49
Verity,1538724731,2021-10-26T00:00:00,Grand Central Publishing,Paperback,Good,5.89
Mockingjay,0545663261,2014-02-25T00:00:00,Scholastic Press,Paperback,Good,8.09
Harry Potter and the Goblet of Fire,1338878956,2023-05-02T00:00:00,Scholastic Inc.,Paperback,Good,10.69
The Giver,0544336267,1993-07-01T00:00:00,Clarion Books,Paperback,Good,4.99
Charlotte's Web,0064400557,2012-04-10T00:00:00,HarperCollins,Paperback,Good,4.49
Harry Potter and the Deathly Hallows,1338878980,2023-05-02T00:00:00,Scholastic Inc.,Paperback,Good,11.19
Pride and Prejudice,1452184577,2020-09-15T00:00:00,Chronicle Books,Hardcover,Good,29.09
The Seven Husbands of Evelyn Hugo,1501161938,2018-05-29T00:00:00,Atria Books,Paperback,Good,5.39
Harry Potter and the Half-Blood Prince,1338878972,2023-05-02T00:00:00,Scholastic Inc.,Paperback,Good,7.09
All the Light We Cannot See,1501173219,2017-04-04T00:00:00,Scribner Book Company,Paperback,Good,4.89
Green Eggs and Ham,0375810889,2001-01-01T00:00:00,Random House Books for Young Readers,Board book,Good,6.39
"The Lion, the Witch and the Wardrobe",0064404994,1994-07-01T00:00:00,HarperCollins,Paperback,Good,4.19
Man's Search for Meaning,0807014273,2006-06-01T00:00:00,Beacon Press,Paperback,Good,8.89
Twilight,0316327336,2022-02-01T00:00:00,"Little, Brown Books for Young Readers",Paperback,Good,10.09
The Book Thief,0375842209,2007-09-11T00:00:00,Alfred A. Knopf Books for Young Readers,Paperback,Good,4.69
Educated,0399590501,2018-02-20T00:00:00,Random House,Hardcover,Good,4.39
"Oh, the Thinks You Can Think!",037585794X,2009-08-11T00:00:00,Random House Books for Young Readers,Board book,Good,4.19
Lord of the Flies,0140283331,1999-10-01T00:00:00,Penguin Books,Paperback,Good,6.09
Anne Frank: The Diary of a Young Girl,9350332108,1912-01-08T00:00:00,Maple Press Pvt Ltd,Paperback,Good,18.99
The Silent Patient,125030170X,2021-05-04T00:00:00,Celadon Books,Paperback,Good,6.69
The Nightingale,1250080401,2017-04-25T00:00:00,St. Martin's Griffin,Paperback,Good,8.59
The Power of Now: A Guide to Spiritual Enlightenment,1577311523,1999-09-27T00:00:00,New World Library,Hardcover,Good,6.09
Before We Were Yours,0425284700,2019-05-21T00:00:00,Ballantine Books,Paperback,Good,4.39
Brave New World,0060850523,2006-10-17T00:00:00,Harper Perennial,Paperback,Good,7.09
It Starts with Us,1668001225,2022-10-18T00:00:00,Atria Books,Paperback,Good,4.89
Mere Christianity,0060652926,2001-02-06T00:00:00,Harper San Francisco,Paperback,Good,6.09
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,0062300547,2016-06-28T00:00:00,Harper,Hardcover,Good,4.79
Wuthering Heights,0141439556,2002-12-31T00:00:00,Penguin Classics,Paperback,Good,4.99
"One Fish, Two Fish, Red Fish, Blue Fish",0394800133,1960-03-12T00:00:00,Random House Books for Young Readers,Hardcover,Good,4.19
"Rich Dad, Poor Dad",1612681131,2022-04-05T00:00:00,Plata Publishing,Mass Market Paperback,Good,6.89
How the Grinch Stole Christmas!,0593434382,2021-09-21T00:00:00,Random House Books for Young Readers,Hardcover,Good,7.59
The Lightning Thief,0786838655,2006-04-01T00:00:00,Disney-Hyperion,Paperback,Good,4.39
Harry Potter and the Order of the Phoenix,043935806X,2003-07-01T00:00:00,Arthur A. Levine Books,Hardcover,Good,5.29
Nineteen Eighty-Four,0679417397,1992-11-03T00:00:00,Everyman's Library,Hardcover,Good,14.99
Harry Potter and the Sorcerer's Stone,1338878921,2023-05-02T00:00:00,Scholastic Inc.,Paperback,Good,7.49
To Kill a Mockingbird,0062420704,2015-03-03T00:00:00,Harper,Hardcover,Good,16.19
Fahrenheit 451,1451673310,2012-01-10T00:00:00,Simon & Schuster,Paperback,Good,8.09
The Hunger Games,0439023521,2010-07-03T00:00:00,Scholastic Press,Paperback,Good,4.59
The Alchemist,0062390627,2014-09-09T00:00:00,HarperOne,Hardcover,Good,15.89
Animal Farm: A Fairy Story,8187057319,2020-01-01T00:00:00,LDS Marketing,Paperback,Good,7.99
Where the Crawdads Sing,0735219109,2021-03-30T00:00:00,G.P. Putnam's Sons,Paperback,Good,4.89
Harry Potter and the Chamber of Secrets,0439064864,1999-07-01T00:00:00,Scholastic,Hardcover,Good,5.39
It Ends with Us,1501110365,2016-08-02T00:00:00,Atria Books,Paperback,Good,4.69
Catching Fire,0545586178,2013-06-04T00:00:00,Scholastic Press,Paperback,Good,6.39
Harry Potter and the Prisoner of Azkaban,0439136350,1999-10-01T00:00:00,Scholastic,Hardcover,Good,5.39
"The Four Agreements: A Practical Guide to Personal Freedom, A Toltec Wisdom Book",1878424319,1997-11-07T00:00:00,Amber-Allen Publishing,Paperback,Good,6.19
The Hobbit,0547953836,2012-09-18T00:00:00,Clarion Books,Hardcover,Good,7.39
The Handmaid's Tale,038549081X,1998-03-16T00:00:00,Vintage,Paperback,Good,7.69
The Great Gatsby,1982146702,2020-11-17T00:00:00,Pocket Books,Mass Market Paperback,Good,6.69
How to Win Friends and Influence People,0671027034,1998-10-01T00:00:00,Pocket Books,Paperback,Good,6.49
Verity,1538724731,2021-10-26T00:00:00,Grand Central Publishing,Paperback,Good,5.89
Mockingjay,0545663261,2014-02-25T00:00:00,Scholastic Press,Paperback,Good,8.09
Harry Potter and the Goblet of Fire,1338878956,2023-05-02T00:00:00,Scholastic Inc.,Paperback,Good,10.69
The Giver,0544336267,1993-07-01T00:00:00,Clarion Books,Paperback,Good,4.99
Harry Potter and the Deathly Hallows,1338878980,2023-05-02T00:00:00,Scholastic Inc.,Paperback,Good,11.19
Charlotte's Web,0064400557,2012-04-10T00:00:00,HarperCollins,Paperback,Good,4.49
Pride and Prejudice,1452184577,2020-09-15T00:00:00,Chronicle Books,Hardcover,Good,29.09
